树个数为67： accu=0.88341457 recall=0.781436 tp=10633 tn=36506 fp=3247 fn=2974
树个数为68： accu=0.8834708 recall=0.7828324 tp=10652 tn=36490 fp=3263 fn=2955
树个数为69： accu=0.8838081 recall=0.78334683 tp=10659 tn=36501 fp=3252 fn=2948
树个数为70： accu=0.883452 recall=0.7881238 tp=10724 tn=36417 fp=3336 fn=2883
树个数为71： accu=0.88403296 recall=0.78878516 tp=10733 tn=36439 fp=3314 fn=2874
树个数为72： accu=0.88375187 recall=0.7912839 tp=10767 tn=36390 fp=3363 fn=2840
树个数为73： accu=0.883021 recall=0.7797457 tp=10610 tn=36508 fp=3245 fn=2997
树个数为74： accu=0.8821027 recall=0.77577716 tp=10556 tn=36513 fp=3240 fn=3051
树个数为75： accu=0.88225263 recall=0.7773205 tp=10577 tn=36500 fp=3253 fn=3030
树个数为76： accu=0.88244003 recall=0.7718821 tp=10503 tn=36584 fp=3169 fn=3104
树个数为77： accu=0.8826649 recall=0.77144116 tp=10497 tn=36602 fp=3151 fn=3110
树个数为78： accu=0.8827586 recall=0.7723231 tp=10509 tn=36595 fp=3158 fn=3098
树个数为79： accu=0.8825337 recall=0.7410157 tp=10083 tn=37009 fp=2744 fn=3524
树个数为80： accu=0.88204646 recall=0.7325641 tp=9968 tn=37098 fp=2655 fn=3639
树个数为81： accu=0.8803973 recall=0.70743 tp=9626 tn=37352 fp=2401 fn=3981
树个数为82： accu=0.8770427 recall=0.6686999 tp=9099 tn=37700 fp=2053 fn=4508
树个数为83： accu=0.86990255 recall=0.61100906 tp=8314 tn=38104 fp=1649 fn=5293
树个数为84： accu=0.8685532 recall=0.6010142 tp=8178 tn=38168 fp=1585 fn=5429
树个数为85： accu=0.8689843 recall=0.6042478 tp=8222 tn=38147 fp=1606 fn=5385
树个数为86： accu=0.86982757 recall=0.61093557 tp=8313 tn=38101 fp=1652 fn=5294
树个数为87： accu=0.87003374 recall=0.61012715 tp=8302 tn=38123 fp=1630 fn=5305
树个数为88： accu=0.8694715 recall=0.602484 tp=8198 tn=38197 fp=1556 fn=5409
树个数为89： accu=0.86988384 recall=0.6035864 tp=8213 tn=38204 fp=1549 fn=5394
树个数为90： accu=0.8727324 recall=0.624458 tp=8497 tn=38072 fp=1681 fn=5110
树个数为91： accu=0.8745502 recall=0.6498126 tp=8842 tn=37824 fp=1929 fn=4765
树个数为92： accu=0.8743066 recall=0.64871025 tp=8827 tn=37826 fp=1927 fn=4780
树个数为93： accu=0.87425035 recall=0.64878374 tp=8828 tn=37822 fp=1931 fn=4779
树个数为94： accu=0.87395054 recall=0.64459467 tp=8771 tn=37863 fp=1890 fn=4836
树个数为95： accu=0.8731447 recall=0.63518775 tp=8643 tn=37948 fp=1805 fn=4964
树个数为96： accu=0.8728823 recall=0.6343794 tp=8632 tn=37945 fp=1808 fn=4975
树个数为97： accu=0.87198275 recall=0.6357757 tp=8651 tn=37878 fp=1875 fn=4956
树个数为98： accu=0.8728448 recall=0.63900936 tp=8695 tn=37880 fp=1873 fn=4912
树个数为99： accu=0.8728261 recall=0.6354082 tp=8646 tn=37928 fp=1825 fn=4961
树个数为100： accu=0.8733321 recall=0.63893586 tp=8694 tn=37907 fp=1846 fn=4913
树个数为101： accu=0.8706522 recall=0.6183582 tp=8414 tn=38044 fp=1709 fn=5193
树个数为102： accu=0.871458 recall=0.62952894 tp=8566 tn=37935 fp=1818 fn=5041
树个数为103： accu=0.8706522 recall=0.628941 tp=8558 tn=37900 fp=1853 fn=5049
树个数为104： accu=0.8708958 recall=0.628941 tp=8558 tn=37913 fp=1840 fn=5049
树个数为105： accu=0.8705772 recall=0.6304843 tp=8579 tn=37875 fp=1878 fn=5028
树个数为106： accu=0.8713456 recall=0.6332035 tp=8616 tn=37879 fp=1874 fn=4991
树个数为107： accu=0.8713643 recall=0.6323951 tp=8605 tn=37891 fp=1862 fn=5002
树个数为108： accu=0.87177664 recall=0.6324686 tp=8606 tn=37912 fp=1841 fn=5001
树个数为109： accu=0.87050223 recall=0.6237231 tp=8487 tn=37963 fp=1790 fn=5120
树个数为110： accu=0.87203896 recall=0.63922983 tp=8698 tn=37834 fp=1919 fn=4909
树个数为111： accu=0.8692092 recall=0.62195927 tp=8463 tn=37918 fp=1835 fn=5144
树个数为112： accu=0.8713081 recall=0.64474165 tp=8773 tn=37720 fp=2033 fn=4834
树个数为113： accu=0.8712144 recall=0.6443007 tp=8767 tn=37721 fp=2032 fn=4840
树个数为114： accu=0.8711769 recall=0.646138 tp=8792 tn=37694 fp=2059 fn=4815
树个数为115： accu=0.87376314 recall=0.68538254 tp=9326 tn=37298 fp=2455 fn=4281
树个数为116： accu=0.87211394 recall=0.7187477 tp=9780 tn=36756 fp=2997 fn=3827
树个数为117： accu=0.8720952 recall=0.7057397 tp=9603 tn=36932 fp=2821 fn=4004
树个数为118： accu=0.8720952 recall=0.69412804 tp=9445 tn=37090 fp=2663 fn=4162
树个数为119： accu=0.87173915 recall=0.70500475 tp=9593 tn=36923 fp=2830 fn=4014
树个数为120： accu=0.87198275 recall=0.70500475 tp=9593 tn=36936 fp=2817 fn=4014
树个数为121： accu=0.87177664 recall=0.7075035 tp=9627 tn=36891 fp=2862 fn=3980
树个数为122： accu=0.87203896 recall=0.70603365 tp=9607 tn=36925 fp=2828 fn=4000
树个数为123： accu=0.8726387 recall=0.72859555 tp=9914 tn=36650 fp=3103 fn=3693
树个数为124： accu=0.8726387 recall=0.733446 tp=9980 tn=36584 fp=3169 fn=3627
树个数为125： accu=0.8731072 recall=0.7344014 tp=9993 tn=36596 fp=3157 fn=3614
树个数为126： accu=0.8732571 recall=0.7346954 tp=9997 tn=36600 fp=3153 fn=3610
树个数为127： accu=0.8730885 recall=0.73498935 tp=10001 tn=36587 fp=3166 fn=3606
树个数为128： accu=0.8733508 recall=0.7506431 tp=10214 tn=36388 fp=3365 fn=3393
树个数为129： accu=0.8733696 recall=0.75005513 tp=10206 tn=36397 fp=3356 fn=3401
树个数为130： accu=0.8732946 recall=0.7492467 tp=10195 tn=36404 fp=3349 fn=3412
树个数为131： accu=0.8733321 recall=0.74777687 tp=10175 tn=36426 fp=3327 fn=3432
树个数为132： accu=0.87132686 recall=0.7809216 tp=10626 tn=35868 fp=3885 fn=2981
树个数为133： accu=0.86999625 recall=0.77585065 tp=10557 tn=35866 fp=3887 fn=3050
